id,timestamp,length,recieved,completed
R66:36380.038876,0.018684,36380.596245,36380.970804,36380.989489
R67:36380.101622,0.087822,36380.596245,36380.989504,36381.077326
R68:36380.113449,0.105154,36380.596245,36381.077348,36381.182503
R69:36380.123053,0.091118,36380.596245,36381.182528,36381.273647
R70:36380.135895,0.199854,36381.450225,36381.273669,36381.473525
R71:36380.141464,0.049149,36381.450225,36381.473567,36381.522717
R72:36380.145337,0.018301,36381.450225,36381.522743,36381.541045
R73:36380.159196,0.087948,36381.607884,36381.541061,36381.629010
R74:36380.273388,0.228240,36381.607884,36381.629102,36381.857343
R75:36380.349752,0.095067,36381.607884,36381.857386,36381.952455
R76:36380.422639,0.009661,36381.607884,36381.952496,36381.962157
R77:36380.429666,0.005431,36381.607884,36381.962178,36381.967610
R78:36380.482136,0.015265,36381.607884,36381.967625,36381.982891
R79:36380.487329,0.114200,36382.044975,36381.982907,36382.097109
R80:36380.531545,0.093925,36382.191023,36382.097146,36382.191072
R81:36380.592401,0.011450,36382.191358,36382.191092,36382.202543
R82:36380.596227,0.015238,36382.191358,36382.202557,36382.217796
R83:36381.450153,0.008938,36382.191358,36382.217811,36382.226750
R84:36381.607841,0.003705,36382.191358,36382.226764,36382.230470
R85:36382.044926,0.005005,36382.191358,36382.230485,36382.235491
R86:36382.190988,0.170990,36382.268454,36382.235504,36382.406495
R87:36382.191310,0.013260,36382.268454,36382.406518,36382.419780
R88:36382.255691,0.033138,36382.442911,36382.419794,36382.452933
R89:36382.268430,0.114207,36382.536595,36382.452953,36382.567161
R90:36382.442882,0.053603,36382.619683,36382.567182,36382.620786
R91:36382.474681,0.040169,36382.619683,36382.620804,36382.660974
R92:36382.536565,0.006997,36382.619683,36382.660991,36382.667989
R93:36382.619643,0.094394,36382.761171,36382.673754,36382.768148
R94:36382.673714,0.323819,36382.990159,36382.768178,36383.091999
R95:36382.699650,0.140038,36383.137747,36383.092036,36383.232075
R96:36382.761119,0.066087,36383.137747,36383.232096,36383.298184
R97:36382.859546,0.091836,36383.137747,36383.298201,36383.390038
R98:36382.862144,0.173020,36383.415209,36383.390059,36383.563080
R99:36382.990115,0.118539,36383.673544,36383.563141,36383.681681
R100:36383.137700,0.090789,36383.673544,36383.681726,36383.772517
R101:36383.415160,0.274014,36383.976478,36383.772554,36384.046571
R102:36383.582101,0.045845,36384.091161,36384.046639,36384.092485
R103:36383.660653,0.118135,36384.189339,36384.092517,36384.210653
R104:36383.673487,0.005341,36384.189339,36384.210685,36384.216027
R105:36383.830504,0.019005,36384.189339,36384.216042,36384.235048
R106:36383.905467,0.017350,36384.189339,36384.235062,36384.252413
R107:36383.976420,0.025404,36384.189339,36384.252427,36384.277832
R108:36384.062605,0.017548,36384.280114,36384.277854,36384.295403
R109:36384.091108,0.066839,36384.325694,36384.295422,36384.362262
R110:36384.096640,0.070204,36384.325694,36384.362309,36384.432514
R111:36384.114747,0.237110,36384.632300,36384.432534,36384.669645
R112:36384.165820,0.052660,36384.632300,36384.669686,36384.722347
R113:36384.189309,0.008015,36384.632300,36384.722370,36384.730386
R114:36384.280068,0.059854,36384.760270,36384.730401,36384.790255
R115:36384.325644,0.039967,36384.760270,36384.790283,36384.830252
R116:36384.531971,0.125453,36384.887690,36384.830294,36384.955749
R117:36384.561289,0.000216,36384.887690,36384.955795,36384.956012
R118:36384.602031,0.060833,36384.976678,36384.956027,36385.016862
R119:36384.632270,0.017762,36384.976678,36385.016906,36385.034669
R120:36384.760235,0.043974,36385.046148,36385.034713,36385.078689
R121:36384.840647,0.024252,36385.084356,36385.078738,36385.102991
R122:36384.887651,0.013438,36385.084356,36385.103018,36385.116457
R123:36384.976613,0.002782,36385.084356,36385.116477,36385.119260
R124:36385.046103,0.079378,36385.194920,36385.119285,36385.198665
R125:36385.084312,0.067674,36385.262034,36385.198696,36385.266371
R126:36385.164391,0.013607,36385.262034,36385.266395,36385.280003
R127:36385.194877,0.065773,36385.262034,36385.280018,36385.345792
R128:36385.261997,0.026537,36385.355763,36385.355772,36385.382310
R129:36385.355735,0.015061,36385.452124,36385.452133,36385.467195
R130:36385.452094,0.076961,36385.709033,36385.633405,36385.710367
R131:36385.633345,0.019828,36385.709033,36385.710397,36385.730225
R132:36385.708999,0.006115,36385.763357,36385.763366,36385.769482
R133:36385.763320,0.139913,36385.876158,36385.784932,36385.924846
R134:36385.784891,0.006562,36385.876158,36385.924879,36385.931441
R135:36385.867677,0.029919,36385.937579,36385.931465,36385.961386
R136:36385.876126,0.059964,36386.016063,36385.961420,36386.021385
R137:36385.937546,0.022718,36386.016063,36386.021409,36386.044128
R138:36386.016019,0.022681,36386.122865,36386.122874,36386.145556
R139:36386.122835,0.014028,36386.151444,36386.151452,36386.165480
R140:36386.151419,0.000239,36386.448498,36386.448509,36386.448749
R141:36386.448445,0.026846,36386.588890,36386.573994,36386.600841
R142:36386.573950,0.038239,36386.588890,36386.600866,36386.639106
R143:36386.588862,0.167496,36386.963710,36386.816469,36386.983967
R144:36386.816406,0.080060,36386.963710,36386.983999,36387.064059
R145:36386.919830,0.077179,36386.963710,36387.064077,36387.141257
R146:36386.929075,0.099229,36387.168422,36387.141272,36387.240501
R147:36386.963682,0.165346,36387.309855,36387.240519,36387.405866
R148:36387.168385,0.015173,36387.309855,36387.405886,36387.421059
R149:36387.309826,0.052944,36387.447818,36387.422616,36387.475561
R150:36387.422576,0.156878,36387.619550,36387.475580,36387.632459
R151:36387.447793,0.138087,36387.681517,36387.632481,36387.770569
R152:36387.619522,0.057233,36387.824360,36387.770590,36387.827823
R153:36387.668788,0.021339,36387.824360,36387.827839,36387.849179
R154:36387.681492,0.045204,36387.868873,36387.849194,36387.894399
R155:36387.824320,0.126006,36387.932047,36387.894418,36388.020425
R156:36387.868837,0.022932,36388.024951,36388.020446,36388.043379
R157:36387.917793,0.076839,36388.090974,36388.043395,36388.120234
R158:36387.932022,0.009982,36388.090974,36388.120254,36388.130236
R159:36388.024916,0.045207,36388.090974,36388.130251,36388.175458
R160:36388.090940,0.085885,36388.295049,36388.221072,36388.306957
R161:36388.221026,0.016732,36388.323118,36388.306980,36388.323713
R162:36388.235067,0.008618,36388.323118,36388.323728,36388.332347
R163:36388.284382,0.029799,36388.323118,36388.332359,36388.362159
R164:36388.295026,0.179114,36388.493939,36388.362173,36388.541288
R165:36388.323095,0.064874,36388.493939,36388.541310,36388.606185
R166:36388.493912,0.113630,36388.708273,36388.623465,36388.737096
