id,timestamp,length,recieved,started,completed
R70:36394.030905,0.199854,36394.491222,36395.117258,36395.317113
R71:36394.036450,0.049149,36395.345168,36395.317138,36395.366288
R72:36394.040318,0.018301,36395.345168,36395.366307,36395.384609
R73:36394.054176,0.087948,36395.345168,36395.384624,36395.472572
R74:36394.168375,0.228240,36395.502817,36395.472639,36395.700880
R75:36394.244735,0.095067,36395.502817,36395.700905,36395.795973
R76:36394.317619,0.009661,36395.502817,36395.795992,36395.805653
R77:36394.324645,0.005431,36395.502817,36395.805668,36395.811100
R78:36394.377116,0.015265,36395.502817,36395.811113,36395.826379
R79:36394.382310,0.114200,36395.939900,36395.826394,36395.940595
R80:36394.426525,0.093925,36395.939900,36395.940613,36396.034539
R81:36394.487378,0.011450,36395.939900,36396.034560,36396.046010
R82:36394.491204,0.015238,36395.939900,36396.046025,36396.061264
R83:36395.345126,0.008938,36395.939900,36396.061280,36396.070218
R84:36395.502784,0.003705,36395.939900,36396.070231,36396.073937
R85:36395.939861,0.005005,36395.939900,36396.073950,36396.078956
R86:36396.085910,0.170990,36396.163373,36396.085949,36396.256940
R87:36396.086225,0.013260,36396.163373,36396.256966,36396.270227
R88:36396.150606,0.033138,36396.163373,36396.270244,36396.303383
R89:36396.163349,0.114207,36396.369630,36396.303399,36396.417606
R90:36396.337803,0.053603,36396.431511,36396.417625,36396.471229
R91:36396.369598,0.040169,36396.431511,36396.471245,36396.511415
R92:36396.431479,0.006997,36396.514594,36396.511430,36396.518429
R93:36396.514551,0.094394,36396.594585,36396.518444,36396.612838
R94:36396.568618,0.323819,36396.885022,36396.612859,36396.936679
R95:36396.594553,0.140038,36397.032608,36396.936703,36397.076742
R96:36396.656018,0.066087,36397.032608,36397.076761,36397.142849
R97:36396.754430,0.091836,36397.032608,36397.142877,36397.234714
R98:36396.757020,0.173020,36397.310055,36397.234734,36397.407755
R99:36396.884984,0.118539,36397.477001,36397.407776,36397.526316
R100:36397.032566,0.090789,36397.568338,36397.526335,36397.617125
R101:36397.310024,0.274014,36397.871208,36397.617144,36397.891159
