R[217],17200.088436s,0.020813s,17200.088560s,17200.088561s
R[218],17200.125341s,0.078991s,17200.125507s,17200.125509s
R[219],17200.147490s,0.093560s,17200.147650s,17200.147652s
R[220],17200.159191s,0.105920s,17200.159331s,17200.159333s
R[221],17200.311696s,0.042734s,17200.311790s,17200.311791s
R[222],17200.334096s,0.047431s,17200.334193s,17200.334194s
R[223],17200.372068s,0.040613s,17200.372135s,17200.372136s
R[224],17200.398383s,0.014008s,17200.398471s,17200.398472s
R[225],17200.474534s,0.001224s,17200.474691s,17200.474693s
R[226],17200.555681s,0.040128s,17200.555856s,17200.555858s
R[227],17200.603610s,0.111429s,17200.603723s,17200.603724s
R[228],17200.640097s,0.087404s,17200.640188s,17200.640189s
R[229],17200.670300s,0.210052s,17200.670389s,17200.670390s
R[230],17200.750697s,0.138300s,17200.750814s,17200.750815s
R[231],17200.866594s,0.031158s,17200.866770s,17200.866772s
R[232],17200.986371s,0.000502s,17200.986515s,17200.986516s
R[233],17201.090264s,0.154777s,17201.090382s,17201.154795s
R[234],17201.166464s,0.085763s,17201.166644s,17201.166646s
R[235],17201.262899s,0.042667s,17201.263063s,17201.263064s
R[236],17201.336057s,0.105744s,17201.336175s,17201.336176s
R[237],17201.381077s,0.094385s,17201.381176s,17201.381177s
R[238],17201.543026s,0.002787s,17201.543196s,17201.543198s
R[239],17201.559713s,0.096456s,17201.559875s,17201.559877s
R[240],17201.566369s,0.080404s,17201.566495s,17201.566496s
R[241],17201.587206s,0.069912s,17201.587342s,17201.587343s
R[242],17201.707766s,0.000477s,17201.707880s,17201.707881s
R[243],17201.707934s,0.025269s,17201.708053s,17201.708054s
R[244],17201.744381s,0.162400s,17201.744497s,17201.744498s
R[245],17201.850965s,0.034797s,17201.851056s,17201.851057s
R[246],17201.870990s,0.176004s,17201.871064s,17201.871064s
R[247],17201.981083s,0.031313s,17201.981188s,17201.981189s
R[248],17202.087071s,0.017177s,17202.087162s,17202.087163s
R[249],17202.303411s,0.058341s,17202.303518s,17202.303519s
R[250],17202.320559s,0.093829s,17202.320636s,17202.320637s
R[251],17202.497175s,0.017675s,17202.497305s,17202.497306s
R[252],17202.731765s,0.102034s,17202.731867s,17202.731868s
R[253],17202.781989s,0.066062s,17202.782068s,17202.782068s
R[254],17202.985222s,0.224617s,17202.985348s,17202.985349s
R[255],17203.119596s,0.217625s,17203.119691s,17203.217643s
R[256],17203.146181s,0.225779s,17203.217697s,17203.225797s
R[257],17203.226360s,0.067019s,17203.226452s,17203.226453s
R[258],17203.294607s,0.133972s,17203.294725s,17203.294726s
R[259],17203.574566s,0.075219s,17203.574649s,17203.574650s
R[260],17203.742914s,0.446682s,17203.743019s,17203.743020s
R[261],17203.850040s,0.032697s,17203.850178s,17203.850180s
R[262],17204.124769s,0.074129s,17204.124933s,17204.124934s
R[263],17204.332253s,0.118692s,17204.332372s,17204.332373s
R[264],17204.433863s,0.132026s,17204.433954s,17204.433954s
R[265],17204.583264s,0.077275s,17204.583407s,17204.583408s
R[266],17204.613867s,0.015222s,17204.614028s,17204.614030s
R[267],17204.677547s,0.166926s,17204.677708s,17204.677709s
R[268],17204.836351s,0.090990s,17204.836524s,17204.836526s
R[269],17205.042822s,0.078892s,17205.042951s,17205.078910s
R[270],17205.096076s,0.086444s,17205.096164s,17205.096165s
R[271],17205.186973s,0.013381s,17205.187088s,17205.187088s
R[272],17205.264368s,0.002793s,17205.264487s,17205.264488s
R[273],17205.350943s,0.060844s,17205.351056s,17205.351057s
R[274],17205.471698s,0.060309s,17205.471798s,17205.471813s
R[275],17205.650495s,0.056081s,17205.650609s,17205.650610s
R[276],17205.662506s,0.004143s,17205.662596s,17205.662596s
R[277],17205.733951s,0.040465s,17205.734048s,17205.734049s
R[278],17205.902384s,0.050142s,17205.902506s,17205.902507s
R[279],17206.003966s,0.044405s,17206.004079s,17206.044423s
R[280],17206.019567s,0.043514s,17206.044472s,17206.044472s
R[281],17206.047948s,0.105368s,17206.048051s,17206.105386s
R[282],17206.049755s,0.139697s,17206.105411s,17206.139715s
R[283],17206.135027s,0.049328s,17206.139736s,17206.139737s
R[284],17206.222434s,0.444320s,17206.222555s,17206.444339s
R[285],17206.287371s,0.006430s,17206.444369s,17206.444370s
R[286],17206.293457s,0.075793s,17206.444378s,17206.444379s
R[287],17206.395844s,0.020682s,17206.444386s,17206.444386s
R[288],17206.421039s,0.214219s,17206.444393s,17206.444394s
R[289],17206.520537s,0.051790s,17206.520638s,17206.520639s
R[290],17206.654505s,0.158420s,17206.654611s,17206.654612s
R[291],17206.712285s,0.247849s,17206.712382s,17206.712383s
R[292],17207.017382s,0.121398s,17207.017573s,17207.121417s
R[293],17207.246846s,0.064123s,17207.246958s,17207.246960s
R[294],17207.287524s,0.054102s,17207.287710s,17207.287711s
R[295],17207.312369s,0.052306s,17207.312548s,17207.312550s
R[296],17207.611704s,0.284973s,17207.611809s,17207.611810s
R[297],17207.827454s,0.051047s,17207.827575s,17207.827576s
R[298],17207.847817s,0.121196s,17207.847909s,17207.847910s
R[299],17207.999366s,0.024821s,17207.999508s,17207.999509s
R[300],17208.234605s,0.275881s,17208.234731s,17208.275899s
R[301],17208.378063s,0.042900s,17208.378178s,17208.378179s
R[302],17208.418440s,0.067370s,17208.418544s,17208.418545s
R[303],17208.500766s,0.017666s,17208.500863s,17208.500864s
R[304],17208.598141s,0.037204s,17208.598229s,17208.598229s
R[305],17208.663188s,0.206932s,17208.663319s,17208.663320s
R[306],17208.769356s,0.077732s,17208.769450s,17208.769451s
R[307],17208.793057s,0.009690s,17208.793132s,17208.793133s
R[308],17208.993661s,0.018491s,17208.993827s,17208.993828s
R[309],17209.040520s,0.074849s,17209.040661s,17209.074866s
R[310],17209.144571s,0.075599s,17209.144655s,17209.144655s
R[311],17209.257482s,0.068580s,17209.257651s,17209.257653s
R[312],17209.263634s,0.023158s,17209.263770s,17209.263771s
R[313],17209.346628s,0.035113s,17209.346811s,17209.346813s
R[314],17209.348639s,0.214415s,17209.348773s,17209.348774s
R[315],17209.349609s,0.122722s,17209.349734s,17209.349735s
R[316],17209.441653s,0.225595s,17209.441779s,17209.441780s
R[317],17209.659924s,0.049514s,17209.660105s,17209.660106s
R[318],17209.679025s,0.132156s,17209.679169s,17209.679170s
R[319],17209.745983s,0.281006s,17209.746083s,17209.746084s
R[320],17209.847926s,0.028881s,17209.848039s,17209.848040s
R[321],17209.864857s,0.037979s,17209.864971s,17209.864972s
R[322],17210.078793s,0.114741s,17210.078887s,17210.114759s
R[323],17210.308551s,0.026568s,17210.308720s,17210.308722s
R[324],17210.373229s,0.010873s,17210.373344s,17210.373345s
R[325],17210.666362s,0.081336s,17210.666474s,17210.666475s
R[326],17210.867179s,0.215346s,17210.867289s,17210.867290s
R[327],17210.994061s,0.027640s,17210.994179s,17210.994180s
R[328],17211.014462s,0.018906s,17211.014540s,17211.018923s
R[329],17211.032785s,0.016156s,17211.032864s,17211.032865s
R[330],17211.131205s,0.021516s,17211.131361s,17211.131362s
R[331],17211.144821s,0.001164s,17211.144954s,17211.144956s
R[332],17211.438493s,0.010652s,17211.438672s,17211.438674s
R[333],17211.456118s,0.087139s,17211.456253s,17211.456254s
R[334],17211.518144s,0.008859s,17211.518299s,17211.518301s
R[335],17211.764998s,0.006097s,17211.765166s,17211.765168s
R[336],17211.860346s,0.057170s,17211.860494s,17211.860495s
R[337],17211.910462s,0.028915s,17211.910611s,17211.910613s
R[338],17211.967914s,0.202906s,17211.968087s,17211.968088s
R[339],17211.995980s,0.017633s,17211.996105s,17211.996106s
R[340],17212.079543s,0.047113s,17212.079651s,17212.079652s
